,meta,meta,delta,delta,6perc,6perc,4perc,4perc,2perc,2perc,0perc,0perc
,sid,Metabolites,min,max,sd,avg,sd,avg,sd,avg,sd,avg
0,s_0162,Isopropylmalate,0.0004267153467889023,0.0014277656108550973,0.00039414877,0.002837438847865,0.00050395036483,0.002298598054226,0.000404008714249,0.002112155929929,0.000477556147427,0.001184915451107
1,s_1021,L-leucine,0.2096512500172969,0.28886630000551505,0.100934525717968,0.845560055837336,0.050034113978904,0.727697363582004,0.043258128353069,0.415676535245764,0.024060231456046,0.166417760234358
2,s_1029,L-methionine,0.18851844304659626,0.2867288615018578,0.08246642166082,0.816155779219694,0.047771338356723,0.668390435312951,0.051521341707564,0.431587381948964,0.033341746953955,0.193963729674737
3,s_0955,L-alanine,0.15085693152975266,0.18172002662253933,0.055567574290865,0.831717950133755,0.045458648013115,0.532978610432837,0.015159172956369,0.218993621889329,0.011921693936293,0.052705142813183
4,s_1056,L-valine,0.037349461962382084,0.05173772896147392,0.018903891591567,0.169961768140373,0.007986575066773,0.140778374907526,0.008128140232183,0.067916293024153,0.003842878203933,0.023372697562225
5,s_1003,L-glycine,0.04838759152929099,0.063123165701119,0.021477429505789,0.129898668808989,0.011949216483704,0.114441629071064,0.007781811941639,0.086870661837523,0.00492212088596,0.031115283222318
6,s_1039,L-serine,0.006677862951699371,0.014739775934404634,0.006756483650746,0.049518609262962,0.004241873505335,0.047597233065975,0.004471548328658,0.041780856716362,0.00232015838264,0.03107203727331
7,s_1045,L-threonine,0.03808348710857126,0.050839228144022724,0.014677995938528,0.161432395912304,0.009881266812914,0.14606560695627,0.003744853595104,0.096979568961774,0.00703617620164,0.052518211335477
8,s_0965,L-arginine,-0.002846696233108318,0.0022711870043243174,0.002706702390864,0.016077471383141,0.002674283092767,0.0241288247365,0.002413545433364,0.021319221050818,0.002098111478734,0.02160697566521
9,s_1266,L-ornithine,0.06259845111201225,0.11897141649447175,0.015233334357611,0.141541574808849,0.061660835300117,0.235310444447965,0.031734150899783,0.166843534462472,0.015290461621599,0.07605860065923
10,s_1025,L-lysine,0.007051601385116364,0.021569283318713644,0.002855249349427,0.05188608205622,0.008100469329884,0.069929834595208,0.007385675982913,0.052630370333447,0.005267526194321,0.038319927981532
