,0perc,,2perc,
Metabolites,avg,sd,avg,sd
Isopropylmalate,0.001318914437727,0.000225293791574,0.001785634490019,0.000827991955421
L-leucine,0.24086739734552,0.015301622817327,0.436392211577137,0.055156208452135
L-methionine,0.293840455465716,0.020058172507575,0.423786241348833,0.056006387978434
L-alanine,0.106015254863009,0.005780383468964,0.257373599157376,0.033010524278807
L-valine,0.0314663293224,0.001192032275284,0.067777490763393,0.007951804007073
L-serine,0.035100859611521,0.001531539093313,0.040491056677742,0.003113876352384
L-threonine,0.079945113752632,0.003850042185754,0.104085680589827,0.006608135327799
L-arginine,0.024676251321044,0.001272246733634,0.024005281717693,0.001234184717196
L-ornithine,0.058057657627917,0.00602297470388,0.144699074651141,0.017457415569665
L-lysine,0.034734302012102,0.002181704914316,0.043795432125061,0.003529223469961
L-glutamic acid,0.240767119733845,0.014416510055374,0.444965217307088,0.031647333173831
L-glutamine,0.060109424807539,0.002856509730974,0.072987159002677,0.007623828927283
L-aspartic acid,0.051219384328777,0.002024866725,0.058493346019265,0.00260437325341
L-asparagine,0.006673219167207,0.000326853743146,0.009797046757312,0.000855369764864
L-histidine,0.04656963513784,0.003720518604877,0.063051353790004,0.004943961061163
L-tyrosine,0.003854443490569,0.000197402212885,0.002515595296731,0.000382822067398
L-phenylalanine,0.004904394990556,0.000190183764089,0.004110975500787,0.000417162073024
L-proline,0.002129369839698,0.000427844655294,0.003070093081926,0.000627181764536
Succinic acid,0.039714930916961,0.004093213564098,0.034061712411131,0.003096443501969
Malic acid,0.023610650979714,0.001160686355066,0.036032871694881,0.003242127223103
Citric acid,0.025628298167832,0.001510454834393,0.023260580175636,0.002941195390827
Fumaric acid,0.0057799118176,0.000407180053139,0.003614750000856,0.000568525361174
Red_Glutathione,0.016548755747608,0.000785920445683,0.013532900286256,0.000931997259155
Oxid_Glutathione,0.005294382047385,0.000657470201756,0.006627650711768,0.000992159344295
Trehalose,0.001636186297652,0.000299178607097,0.004203088499259,0.000880640119316
D-Glucose,0.019237165473164,0.002155984755827,0.017613755710606,0.002236154994721
Orotidine,0.008199189602742,0.000558460606444,0.005551704154874,0.001017949984415
Glycerol,0.931848534534801,0.152232642761182,0.773897252945399,0.156907334292081
NADH,0.002127421445689,0.000487374058099,0.004216500735106,0.000616010516342
NAD,0.02058984175994,0.001204358230732,0.020390794163754,0.001118781933638
NADP(+),0.002669364572067,0.00014017389216,0.002202140026595,0.000215503415935
ATP,0.008296532517647,0.000960590807383,0.009527225540525,0.001601745255223
ADP,0.008030573520172,0.000824263805105,0.00822580079569,0.001263954151512
AMP,0.002232947157812,0.000628652482276,0.003594937568502,0.001817256442379
Thiamine(1+),0.006400366063562,0.000444332352986,0.012830711000492,0.002397555512975
UDP-Glucose,0.002027430320637,0.000148351454869,0.001742325648034,0.00018768181007
